буква       raw    |   enc
  а:       0.0887  |  0.0161
  б:       0.0081  |  0.0202
  в:       0.0565  |  0.0081
  г:       0.0121  |  0.0081
  д:       0.0282  |  0.0242
  е:       0.0565  |  0.0282
  ж:       0.0040  |  0.0081
  з:       0.0202  |  0.0040
  и:       0.0363  |  0.0202
  й:       0.0121  |  0.0403
  к:       0.0282  |  0.0282
  л:       0.0363  |  0.0282
  м:       0.0202  |  0.0282
  н:       0.0484  |  0.0444
  о:       0.0847  |  0.0323
  п:       0.0323  |  0.0363
  р:       0.0524  |  0.0282
  с:       0.0323  |  0.0323
  т:       0.0444  |  0.0161
  у:       0.0242  |  0.0363
  ф:       0.0000  |  0.0161
  х:       0.0040  |  0.0323
  ц:       0.0000  |  0.0121
  ч:       0.0000  |  0.0202
  ш:       0.0000  |  0.0242
  щ:       0.0000  |  0.0282
  ъ:       0.0000  |  0.0323
  ы:       0.0081  |  0.0323
  ь:       0.0161  |  0.0282
  э:       0.0000  |  0.0282
  ю:       0.0000  |  0.0161
  я:       0.0202  |  0.0161
  ё:       0.0000  |  0.0000
