буква       raw    |   enc
  а:       0.0558  |  0.0279
  б:       0.0120  |  0.0279
  в:       0.0398  |  0.0159
  г:       0.0159  |  0.0239
  д:       0.0199  |  0.0478
  е:       0.0757  |  0.0319
  ж:       0.0159  |  0.0080
  з:       0.0080  |  0.0120
  и:       0.0478  |  0.0199
  й:       0.0120  |  0.0279
  к:       0.0120  |  0.0359
  л:       0.0359  |  0.0279
  м:       0.0359  |  0.0199
  н:       0.0598  |  0.0239
  о:       0.0757  |  0.0199
  п:       0.0239  |  0.0199
  р:       0.0438  |  0.0398
  с:       0.0438  |  0.0279
  т:       0.0558  |  0.0558
  у:       0.0398  |  0.0080
  ф:       0.0000  |  0.0319
  х:       0.0120  |  0.0319
  ц:       0.0000  |  0.0159
  ч:       0.0040  |  0.0199
  ш:       0.0080  |  0.0239
  щ:       0.0000  |  0.0279
  ъ:       0.0000  |  0.0199
  ы:       0.0159  |  0.0279
  ь:       0.0120  |  0.0120
  э:       0.0000  |  0.0319
  ю:       0.0120  |  0.0199
  я:       0.0120  |  0.0199
  ё:       0.0000  |  0.0000
