буква       raw    |   enc
  а:       0.0635  |  0.0317
  б:       0.0198  |  0.0119
  в:       0.0159  |  0.0119
  г:       0.0278  |  0.0079
  д:       0.0476  |  0.0079
  е:       0.0635  |  0.0238
  ж:       0.0079  |  0.0159
  з:       0.0079  |  0.0238
  и:       0.0516  |  0.0159
  й:       0.0198  |  0.0357
  к:       0.0238  |  0.0119
  л:       0.0437  |  0.0357
  м:       0.0278  |  0.0278
  н:       0.0397  |  0.0357
  о:       0.1111  |  0.0278
  п:       0.0278  |  0.0397
  р:       0.0397  |  0.0159
  с:       0.0278  |  0.0159
  т:       0.0397  |  0.0159
  у:       0.0238  |  0.0317
  ф:       0.0000  |  0.0198
  х:       0.0040  |  0.0397
  ц:       0.0000  |  0.0238
  ч:       0.0159  |  0.0357
  ш:       0.0079  |  0.0198
  щ:       0.0079  |  0.0437
  ъ:       0.0000  |  0.0397
  ы:       0.0238  |  0.0357
  ь:       0.0119  |  0.0397
  э:       0.0040  |  0.0238
  ю:       0.0079  |  0.0238
  я:       0.0000  |  0.0079
  ё:       0.0000  |  0.0159
