буква       raw    |   enc
  а:       0.0658  |  0.0082
  б:       0.0123  |  0.0165
  в:       0.0494  |  0.0123
  г:       0.0041  |  0.0082
  д:       0.0165  |  0.0082
  е:       0.0864  |  0.0329
  ж:       0.0082  |  0.0206
  з:       0.0165  |  0.0329
  и:       0.0700  |  0.0494
  й:       0.0206  |  0.0247
  к:       0.0247  |  0.0288
  л:       0.0165  |  0.0247
  м:       0.0041  |  0.0288
  н:       0.0247  |  0.0288
  о:       0.0741  |  0.0247
  п:       0.0329  |  0.0247
  р:       0.0576  |  0.0370
  с:       0.0617  |  0.0288
  т:       0.0658  |  0.0165
  у:       0.0206  |  0.0288
  ф:       0.0000  |  0.0453
  х:       0.0041  |  0.0288
  ц:       0.0041  |  0.0412
  ч:       0.0206  |  0.0370
  ш:       0.0000  |  0.0206
  щ:       0.0000  |  0.0247
  ъ:       0.0000  |  0.0329
  ы:       0.0206  |  0.0165
  ь:       0.0123  |  0.0206
  э:       0.0041  |  0.0082
  ю:       0.0082  |  0.0247
  я:       0.0370  |  0.0329
  ё:       0.0000  |  0.0247
