буква       raw    |   enc
  а:       0.0806  |  0.0202
  б:       0.0040  |  0.0282
  в:       0.0565  |  0.0161
  г:       0.0121  |  0.0121
  д:       0.0202  |  0.0161
  е:       0.0887  |  0.0202
  ж:       0.0081  |  0.0323
  з:       0.0202  |  0.0161
  и:       0.0403  |  0.0363
  й:       0.0000  |  0.0323
  к:       0.0202  |  0.0242
  л:       0.0484  |  0.0121
  м:       0.0202  |  0.0242
  н:       0.0605  |  0.0605
  о:       0.0968  |  0.0242
  п:       0.0403  |  0.0323
  р:       0.0524  |  0.0202
  с:       0.0323  |  0.0282
  т:       0.0484  |  0.0121
  у:       0.0202  |  0.0121
  ф:       0.0000  |  0.0242
  х:       0.0000  |  0.0202
  ц:       0.0000  |  0.0363
  ч:       0.0121  |  0.0081
  ш:       0.0040  |  0.0282
  щ:       0.0000  |  0.0242
  ъ:       0.0000  |  0.0202
  ы:       0.0121  |  0.0161
  ь:       0.0121  |  0.0323
  э:       0.0000  |  0.0242
  ю:       0.0000  |  0.0282
  я:       0.0121  |  0.0363
  ё:       0.0000  |  0.0444
