буква       raw    |   enc
  а:       0.0275  |  0.0196
  б:       0.0314  |  0.0118
  в:       0.0314  |  0.0314
  г:       0.0353  |  0.0235
  д:       0.0353  |  0.0235
  е:       0.0235  |  0.0392
  ж:       0.0314  |  0.0314
  з:       0.0078  |  0.0235
  и:       0.0235  |  0.0471
  й:       0.0196  |  0.0275
  к:       0.0353  |  0.0588
  л:       0.0275  |  0.0471
  м:       0.0353  |  0.0314
  н:       0.0314  |  0.0196
  о:       0.0471  |  0.0235
  п:       0.0392  |  0.0118
  р:       0.0235  |  0.0235
  с:       0.0235  |  0.0314
  т:       0.0275  |  0.0235
  у:       0.0392  |  0.0275
  ф:       0.0627  |  0.0196
  х:       0.0157  |  0.0275
  ц:       0.0157  |  0.0353
  ч:       0.0157  |  0.0275
  ш:       0.0235  |  0.0431
  щ:       0.0196  |  0.0314
  ъ:       0.0275  |  0.0392
  ы:       0.0353  |  0.0392
  ь:       0.0314  |  0.0314
  э:       0.0471  |  0.0392
  ю:       0.0353  |  0.0235
  я:       0.0392  |  0.0431
  ё:       0.0353  |  0.0235
