буква       raw    |   enc
  а:       0.0776  |  0.0204
  б:       0.0041  |  0.0286
  в:       0.0367  |  0.0245
  г:       0.0041  |  0.0163
  д:       0.0449  |  0.0286
  е:       0.0367  |  0.0245
  ж:       0.0082  |  0.0408
  з:       0.0204  |  0.0327
  и:       0.0898  |  0.0163
  й:       0.0041  |  0.0204
  к:       0.0327  |  0.0082
  л:       0.0204  |  0.0612
  м:       0.0531  |  0.0163
  н:       0.0245  |  0.0204
  о:       0.0490  |  0.0163
  п:       0.0245  |  0.0286
  р:       0.0449  |  0.0163
  с:       0.0449  |  0.0286
  т:       0.0490  |  0.0286
  у:       0.0327  |  0.0122
  ф:       0.0000  |  0.0286
  х:       0.0163  |  0.0327
  ц:       0.0000  |  0.0163
  ч:       0.0082  |  0.0163
  ш:       0.0000  |  0.0163
  щ:       0.0000  |  0.0245
  ъ:       0.0000  |  0.0327
  ы:       0.0204  |  0.0286
  ь:       0.0163  |  0.0327
  э:       0.0041  |  0.0204
  ю:       0.0082  |  0.0327
  я:       0.0163  |  0.0204
  ё:       0.0000  |  0.0000
